Dec 16 07:51:57 INFO: manager: OpenRTM-aist-1.0.0
Dec 16 07:51:57 INFO: manager: Copyright (C) 2003-2010
Dec 16 07:51:57 INFO: manager:   Noriaki Ando
Dec 16 07:51:57 INFO: manager:   Intelligent Systems Research Institute, AIST
Dec 16 07:51:57 INFO: manager: Manager starting.
Dec 16 07:51:57 INFO: manager: Starting local logging.
Dec 16 07:51:57 WARNING: NamingOnCorba: No endpoint for the CORBA naming service (localhost) was found.
Dec 16 07:51:57 INFO: NamingManager: NameServer connection succeeded: corba/localhost:9876
Dec 16 07:51:57 INFO: ManagerServant: Master manager not found
12月 16 07:56:09 WARNING: PuckXY_in: buffer empty
12月 16 07:56:09 WARNING: PuckXY_in: buffer empty
12月 16 07:56:09 WARNING: PuckXY_in: buffer empty
12月 16 07:56:09 WARNING: PuckXY_in: buffer empty
12月 16 07:56:09 WARNING: PuckXY_in: buffer empty
12月 16 07:56:09 WARNING: PuckXY_in: buffer empty
12月 16 07:56:09 WARNING: PuckXY_in: buffer empty
12月 16 07:56:09 WARNING: PuckXY_in: buffer empty
12月 16 07:56:09 WARNING: PuckXY_in: buffer empty
12月 16 07:56:09 WARNING: PuckXY_in: buffer empty
12月 16 07:56:09 WARNING: PuckXY_in: buffer empty
12月 16 07:56:09 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:10 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:11 WARNING: PuckXY_in: buffer empty
12月 16 07:56:12 WARNING: PuckXY_in: buffer empty
12月 16 07:56:12 WARNING: PuckXY_in: buffer empty
12月 16 07:56:12 WARNING: PuckXY_in: buffer empty
12月 16 07:56:12 WARNING: PuckXY_in: buffer empty
12月 16 07:56:12 WARNING: PuckXY_in: buffer empty
